operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",180000.0,USD,2729232.0,180000.0,120.0,110.0,1500.0,1636.3636363636365,,4.0,,http://villa-crespo.properati.com.ar/12egq_venta_departamentos_villa-crespo_justo-juan-b-av-_4018_balcon_lavadero_luminoso_dependencias_estudio-lca
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,250000.0,USD,3790600.0,250000.0,117.0,120.0,2136.7521367521367,2083.333333333333,,4.0,,http://ramos-mejia.properati.com.ar/s7pd_venta_casa_la-matanza
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658073",410000.0,USD,6216584.0,410000.0,410.0,220.0,1000.0,1863.636363636364,,,,http://castelar-moron.properati.com.ar/11vgn_venta_casa_castelar_suite_lavadero_parrilla_piscina_quincho_toilette_dependencias_garage_leloir-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669503",180000.0,USD,2729232.0,180000.0,200.0,135.0,900.0,1333.3333333333333,,5.0,,http://tres-de-febrero.properati.com.ar/7f7u_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.5846508988,-58.4546932614",129000.0,USD,1955949.6,129000.0,76.0,70.0,1697.3684210526317,1842.857142857143,,,,http://chacarita.properati.com.ar/10qlv_venta_departamentos_chacarita_balcon_lavadero_toilette_placard_losa-radiante_barrera-y-asociados
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6177676,-58.5663939",120000.0,USD,1819488.0,120000.0,180.0,180.0,666.6666666666666,666.6666666666666,,,,http://caseros.properati.com.ar/11vj6_venta_ph_caseros_balcon_jardin_lavadero_parrilla_patio_garage_pablo-yaryura-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6558611,-58.6167212",55000.0,USD,833932.0,55000.0,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/uu5o_venta_departamentos_moron
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6552091,-58.69732",130000.0,USD,1971112.0,130000.0,300.0,140.0,433.3333333333333,928.5714285714286,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/11dqu_venta_casa_ituzaingo_jardin_lavadero_parrilla_patio_garage_tortorello-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,200000.0,USD,3032480.0,200000.0,61.0,48.0,3278.688524590164,4166.666666666667,,2.0,3400,http://nordelta.properati.com.ar/vwbs_alquiler_departamentos_nordelta
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6389789,-58.500115",87000.0,USD,1319128.8,87000.0,48.0,42.0,1812.5,2071.428571428572,,,,http://villa-luro.properati.com.ar/12m82_venta_departamentos_villa-luro_balcon_parrilla_patio_garage_aire-acondicionado_inmobiliaria-calot
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,120000.0,USD,1819488.0,120000.0,150.0,100.0,800.0,1200.0,,3.0,,http://haedo.properati.com.ar/sa3r_venta_ph_moron
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6050060697,-58.4001162302",60000.0,USD,909744.0,60000.0,28.0,28.0,2142.8571428571427,2142.8571428571427,,1.0,,http://once.properati.com.ar/zz0q_venta_departamentos_once_luminoso_placard_ferrari-propiedades_cv8
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6521726,-58.5778671",230000.0,USD,3487352.0,230000.0,290.0,230.0,793.1034482758621,1000.0,,5.0,,http://ramos-mejia.properati.com.ar/jmwp_venta_casa_la-matanza_cervantes_1400
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.447931,-58.5525002",190000.0,USD,2880856.0,190000.0,,,,,,,,http://victoria.properati.com.ar/rud2_venta_departamentos_victoria
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6445852,-58.5940404",70000.0,USD,1061368.0,70000.0,55.0,55.0,1272.7272727272727,1272.7272727272727,3.0,3.0,,http://haedo.properati.com.ar/l03b_venta_departamentos_haedo
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|Guernica|,,350000.0,USD,5306840.0,350000.0,0.0,360.0,,972.2222222222222,,,,http://guernica.properati.com.ar/rkb8_venta_casa_guernica
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,95000.0,USD,1440428.0,95000.0,,48.0,,1979.1666666666667,,2.0,,http://ramos-mejia.properati.com.ar/10cpc_venta_departamentos_ramos-mejia_malvinas-argentinas-prop
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9134724,-57.9788854",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/yjl5_venta_departamentos_la-plata_patio_mirta-libera-propiedades_b3a
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5646269,-58.4412741",600000.0,USD,9097440.0,600000.0,220.0,,2727.2727272727275,,,5.0,,http://belgrano.properati.com.ar/jvge_venta_departamento_belgrano_garcia-teodoro_1900
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6555763,-58.5728642",47000.0,USD,712632.8,47000.0,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/rqrn_venta_departamentos_moron
sell,apartment,|Argentina|Capital Federal|San Nicolás|,"-34.603898,-58.378617",69000.0,USD,1046205.6,69000.0,,22.0,,3136.3636363636365,23.0,2.0,,http://san-nicolas.properati.com.ar/rnju_venta_departamentos_constitucion
